Date,SPY,BTC,AAPL,MSFT,IBM,GLDI,V
8/9/2016,218.179993,587.801025,108.8099976,58.20000076,161.7700043,10.75,80.05999756
8/16/2016,217.960007,577.439026,109.3799973,57.43999863,160.6999969,10.77000046,80.80999756
8/23/2016,218.970001,583.414978,108.8499985,57.88999939,160.2599945,10.56999969,80.80000305
8/30/2016,218,577.502991,106,57.88999939,159.3999939,10.33399963,81.16999817
9/6/2016,219.029999,610.435974,107.6999969,57.61000061,160.3500061,10.63000011,82.52999878
9/13/2016,213.229996,609.241028,107.9499969,56.52999878,155.8099976,10.43000031,81.88999939
9/20/2016,213.419998,608.312012,113.5699997,56.81000137,154.4499969,10.34300041,82.48000336
9/27/2016,215.570007,606.166016,113.0899963,57.95000076,156.7700043,10.45499992,82.16000366
10/4/2016,214.679993,610.203979,113,57.24000168,156.4600067,10.03999996,82.73000336
10/11/2016,213.429993,641.072021,116.3000031,57.18999863,154.7899933,9.930000305,82.04000092
10/18/2016,213.710007,637.960022,117.4700012,57.65999985,150.7200012,9.871999741,81.58000183
10/25/2016,214.169998,657.588013,118.25,60.99000168,150.8800049,9.930000305,82.02999878
11/1/2016,211.009995,729.79303,111.4899979,59.79999924,152.7899933,9.979999542,81.62000275
11/8/2016,214.110001,709.848022,111.0599976,60.47000122,155.1699982,9.909999847,82.87999725
11/15/2016,218.279999,711.619019,107.1100006,58.86999893,158.6699982,9.630000114,78.56999969
11/22/2016,220.580002,751.346985,111.8000031,61.11999893,162.6699982,9.470000267,79.93000031
11/29/2016,220.910004,735.604004,111.4599991,61.09000015,163.5299988,9.270000458,79.15000153
12/6/2016,221.699997,764.223999,109.9499969,59.95000076,160.3500061,9.109999657,77.11000061
12/13/2016,227.759995,780.55603,115.1900024,62.97999954,168.2899933,9.039999962,79.19999695
12/20/2016,226.399994,800.875977,116.9499969,63.54000092,167.6000061,8.829999924,78.36000061
12/27/2016,226.270004,933.197998,117.2600021,63.27999878,167.1399994,8.869999886,78.34999847
1/3/2017,225.240005,1043.839966,116.1500015,62.58000183,167.1900024,9.010000229,79.5
1/10/2017,226.460007,907.679016,119.1100006,62.61999893,165.5200043,9.220000267,81.30999756
1/17/2017,226.25,907.937988,120,62.52999878,167.8899994,9.430000305,81.26000214
