Date,AAPL,MSFT,IBM,AABA,GLDI,V
4/23/2015,129.6699982,43.34000015,170.2400055,43.69499969,11.83199978,67.72000122
4/24/2015,130.2799988,47.86999893,169.7799988,44.52000046,11.63000011,67.48000336
4/27/2015,132.6499939,48.02999878,170.7299957,44.36000061,11.8760004,67.09999847
4/28/2015,130.5599976,49.15999985,173.9199982,44.34000015,11.93999958,66.76999664
4/29/2015,128.6399994,49.06000137,174.3999939,43.27999878,11.91499996,67.33999634
4/30/2015,125.1500015,48.63999939,171.2899933,42.56499863,11.69999981,66.05000305
5/1/2015,128.9499969,48.65999985,173.6699982,42.50999832,11.63000011,65.76999664
5/4/2015,128.6999969,48.24000168,173.9700012,42.04000092,11.76000023,65.58000183
5/5/2015,125.8000031,47.59999847,173.0800018,41.29999924,11.80000019,65.95999908
5/6/2015,125.0100021,46.27999878,170.0500031,41.65999985,11.78999996,65.66999817
5/7/2015,125.2600021,46.70000076,170.9900055,43.86999893,11.71000004,66.58000183
5/8/2015,127.6200027,47.75,172.6799927,44.09000015,11.76000023,69.47000122
5/11/2015,126.3199997,47.36999893,171.1199951,43.59999847,11.73799992,69.01999664
5/12/2015,125.8700027,47.34999847,170.5500031,43.84000015,11.81000042,68.69000244
5/13/2015,126.0100021,47.63000107,172.2799988,44.39500046,11.85999966,68.65000153
5/14/2015,128.9499969,48.72000122,174.0500031,44.95000076,11.93999958,70
5/15/2015,128.7700043,48.29999924,173.2599945,44.75,11.97000027,69.56999969
5/18/2015,130.1900024,48.00999832,173.0599976,44.36000061,11.97000027,70
5/19/2015,130.0700073,47.58000183,173.4799957,40.97999954,11.86999989,70.16000366
5/20/2015,130.0599976,47.58000183,173.7599945,42.79000092,11.85999966,69.77999878
5/21/2015,131.3899994,47.41999817,173.3399963,43.67499924,11.88000011,69.37000275
5/22/2015,132.5399933,46.90000153,172.2200012,43.48500061,11.88000011,69.62000275
5/26/2015,129.6199951,46.59000015,170.1300049,42.84999847,11.73999977,68.54000092
5/27/2015,132.0399933,47.61000061,172,43.38000107,11.74499989,69.48999786
5/28/2015,131.7799988,47.45000076,171.7100067,43.06999969,11.7329998,69.55999756
5/29/2015,130.2799988,46.86000061,169.6499939,42.93500137,11.77000046,68.68000031
6/1/2015,130.5399933,47.22999954,170.1799927,43.34999847,11.76000023,69.11000061
6/2/2015,129.9600067,46.91999817,169.6499939,43.15000153,11.80000019,69.04000092
6/3/2015,130.1199951,46.84999847,169.9199982,43.20999908,11.72999954,68.94999695
6/4/2015,129.3600006,46.36000061,168.3800049,42.88000107,11.68999958,68.20999908
6/5/2015,128.6499939,46.13999939,167.3999939,42.81000137,11.61999989,68.37000275
6/8/2015,127.8000031,45.72999954,165.3399963,42.00999832,11.63000011,67.68000031
6/9/2015,127.4199982,45.65000153,165.6799927,41.63000107,11.68000031,67.94999695
6/10/2015,128.8800049,46.61000061,168.9199982,42.06000137,11.72999954,69.62999725
6/11/2015,128.5899963,46.43999863,168.7799988,40.93500137,11.73999977,69.63999939
6/12/2015,127.1699982,45.97000122,166.9900055,40.52500153,11.68999958,69.33000183
6/15/2015,126.9199982,45.47999954,166.2599945,40.47000122,11.75,68.56999969
6/16/2015,127.5999985,45.83000183,166.8399963,40.63499832,11.68999958,69.01000214
6/17/2015,127.3000031,45.97000122,167.1699982,40.95999908,11.72599983,68.75
6/18/2015,127.8799973,46.72000122,168.25,40.90999985,11.78999996,69.5
6/19/2015,126.5999985,46.09999847,166.9900055,40.50999832,11.76799965,68.69000244
6/22/2015,127.6100006,46.22999954,167.7299957,40.72999954,11.64999962,69.08999634
6/23/2015,127.0299988,45.90999985,168.6199951,40.65000153,11.59599972,69.41999817
6/24/2015,128.1100006,45.63999939,166.9700012,40.93999863,11.60999966,68.86000061
6/25/2015,127.5,45.65000153,166.0800018,41.06499863,11.59000015,68.62000275
6/26/2015,126.75,45.25999832,165.4600067,40.06000137,11.60000038,68.75
6/29/2015,124.5299988,44.36999893,162.9700012,38.90999985,11.62199974,66.72000122
6/30/2015,125.4300003,44.15000153,162.6600037,39.29000092,11.55000019,67.15000153
7/1/2015,126.5999985,44.45000076,164.4900055,39.33000183,11.55000019,67.84999847
7/2/2015,126.4400024,44.40000153,165.0899963,39.38000107,11.48700047,68.23999786
7/6/2015,126,44.38999939,164.7299957,38.61000061,11.51500034,68.12000275
7/7/2015,125.6900024,44.29999924,165,38.22999954,11.41100025,67.76999664
7/8/2015,122.5699997,44.24000168,163.1600037,37.22999954,11.42000008,66.73000336
7/9/2015,120.0699997,44.52000046,163.8500061,37.61000061,11.47999954,67.05000305
7/10/2015,123.2799988,44.61000061,166.9499969,37.91999817,11.47099972,68.41999817
7/13/2015,125.6600037,45.54000092,169.3800049,38.75999832,11.43200016,69.51999664
7/14/2015,125.6100006,45.61999893,168.6100006,38.63000107,11.39999962,70.09999847
7/15/2015,126.8199997,45.75999832,168.5299988,38.38000107,11.32999992,70.01999664
7/16/2015,128.5099945,46.65999985,171,38.90999985,11.32900047,70.56999969
7/17/2015,129.6199951,46.61999893,172.5099945,39.68000031,11.22999954,70.87999725
7/20/2015,132.0700073,46.91999817,173.2200012,39.54000092,10.84000015,72.69999695
7/21/2015,130.75,47.27999878,163.0700073,39.72999954,10.80000019,72.01999664
7/22/2015,125.2200012,45.54000092,160.3500061,39.24000168,10.73999977,71.97000122
7/23/2015,125.1600037,46.11000061,161.7299957,39.20999908,10.68000031,71.75
7/24/2015,124.5,45.93999863,159.75,38.84999847,10.75,74.80000305
7/27/2015,122.7699966,45.34999847,159.0700073,37.83499908,10.72999954,73.86000061
7/28/2015,123.3799973,45.34000015,160.0500031,37.72000122,10.77000046,74.73999786
7/29/2015,122.9899979,46.29000092,161.0899963,37.66999817,10.77000046,76.01000214
7/30/2015,122.3700027,46.88000107,160.9600067,37.41999817,10.68200016,76.37999725
7/31/2015,121.3000031,46.70000076,161.9900055,36.66999817,10.80000019,75.33999634
8/3/2015,118.4400024,46.81000137,158.7100067,36.68999863,10.71000004,75.76999664
8/4/2015,114.6399994,47.54000092,157.6000061,37.11999893,10.67000008,75.26999664
8/5/2015,115.4000015,47.58000183,157.8999939,37.25,10.64999962,74.98000336
8/6/2015,115.1299973,46.61999893,156.3200073,36.45999908,10.72999954,73.58000183
8/7/2015,115.5199966,46.74000168,155.1199951,36.66999817,10.75500011,74.20999908
8/10/2015,119.7200012,47.33000183,156.75,37.15000153,10.83199978,74.37999725
8/11/2015,113.4899979,46.40999985,155.5099945,36.02999878,10.88000011,73.36000061
8/12/2015,115.2399979,46.74000168,156.1600037,34.49000168,11.01000023,73.54000092
8/13/2015,115.1500015,46.72999954,155.0700073,35.93000031,10.93999958,73.93000031
8/14/2015,115.9599991,47,155.75,36.24000168,10.93999958,74.22000122
8/17/2015,117.1600037,47.31999969,156.3099976,36.09500122,10.95899963,74.41000366
8/18/2015,116.5,47.27000046,156.0099945,35.68999863,10.93000031,74.47000122
8/19/2015,115.0100021,46.61000061,153.9400024,35.18999863,11.03999996,74.40000153
8/20/2015,112.6500015,45.65999985,152.6600037,34.09999847,11.06999969,73.94999695
8/21/2015,105.7600021,43.06999969,148.8500061,32.93000031,11.11800003,71.19000244
8/24/2015,103.1200027,41.68000031,143.4700012,31.30999947,11.03999996,68.36000061
8/25/2015,103.7399979,40.47000122,140.9600067,31.73999977,11.01000023,66.97000122
8/26/2015,109.6900024,42.70999908,146.6999969,32.52000046,10.93000031,70.69000244
8/27/2015,112.9199982,43.90000153,148.5399933,33.68999863,10.97000027,72.40000153
8/28/2015,113.2900009,43.93000031,147.9799957,33.13999939,11.01000023,72.45999908
8/31/2015,112.7600021,43.52000046,147.8899994,32.24000168,11.05000019,71.30000305
9/1/2015,107.7200012,41.81999969,142.6799927,31.60000038,11.03999996,68.95999908
9/2/2015,112.3399963,43.36000061,145.0500031,31.77000046,11.0539999,69.62000275
9/3/2015,110.3700027,43.5,146.7799988,32.54000092,11.01000023,70.40000153
9/4/2015,109.2699966,42.61000061,143.6999969,31.57999992,10.96000004,69.16000366
9/8/2015,112.3099976,43.88999939,147.2299957,30.89999962,11,70.52999878
9/9/2015,110.1500015,43.06999969,145.0500031,31.52000046,10.89000034,69.59999847
9/10/2015,112.5699997,43.29000092,146.1999969,31.14999962,10.89999962,70.23000336
9/11/2015,114.2099991,43.47999954,147.3699951,31.43000031,10.90999985,70.76000214
9/14/2015,115.3099976,43.04000092,145.6499939,30.31999969,10.91899967,70.01000214
9/15/2015,116.2799988,43.97999954,147.5299988,31.04000092,10.89999962,70.51000214
9/16/2015,116.4100037,44.29999924,148.4100037,31.39999962,10.99300003,70.98999786
9/17/2015,113.9199982,44.25,148.1399994,30.93000031,11.10999966,70.95999908
