Date,AAPL,MSFT,IBM,AABA,GLDI
2017-05-11,153.95,68.46,150.65,49.69,9.29
2017-05-12,156.1,68.38,150.37,49.65,9.32
2017-05-15,155.7,68.43,151.51,49.86,9.33
2017-05-16,155.47,69.41,153.68,50.96,9.37
2017-05-17,150.25,67.48,150.93,49.65,9.49
2017-05-18,152.54,67.71,150.78,49.63,9.3
2017-05-19,153.06,67.69,151.98,50.18,9.35
2017-05-22,153.99,68.45,152.64,50.65,9.37
2017-05-23,153.8,68.68,152.03,50.31,9.35
2017-05-24,153.34,68.77,152.51,50.32,9.34
2017-05-25,153.87,69.62,153.2,50.6,9.36
2017-05-26,153.61,69.96,152.49,50.67,9.4
2017-05-30,153.67,70.41,151.73,50.56,9.42
2017-05-31,152.76,69.84,152.63,50.32,9.45
2017-06-01,153.18,70.1,152.67,50.65,9.44
2017-06-02,155.45,71.76,152.05,50.6,9.49
2017-06-05,153.93,72.28,152.41,50.6,9.5
2017-06-06,154.45,72.52,152.37,50.5,9.51
2017-06-07,155.37,72.39,150.98,50.55,9.5
2017-06-08,154.99,71.95,152.1,55.71,9.47
2017-06-09,148.98,70.32,154.1,54.02,9.43
2017-06-12,145.42,69.78,155.18,53.12,9.41
2017-06-13,146.59,70.65,154.25,52.0,9.38
2017-06-14,145.16,70.27,153.81,52.63,9.35
2017-06-15,144.29,69.9,154.22,52.58,9.33
2017-06-16,142.27,70.0,155.38,52.58,9.34
2017-06-19,146.34,70.87,154.84,54.46,9.25
2017-06-20,145.01,69.91,154.95,53.81,9.24
2017-06-21,145.87,70.27,153.79,55.09,9.24
2017-06-22,145.63,70.26,154.4,54.56,9.27
2017-06-23,146.28,71.21,154.11,54.73,9.34
2017-06-26,145.82,70.53,155.23,54.31,9.22
2017-06-27,143.73,69.21,154.75,53.64,9.27
2017-06-28,145.83,69.8,155.32,54.95,9.26
2017-06-29,143.68,68.49,154.13,54.3,9.22
2017-06-30,144.02,68.93,153.83,54.48,9.2
2017-07-03,143.5,68.17,155.58,54.45,9.05
2017-07-05,144.09,69.08,153.67,55.62,9.08
2017-07-06,142.73,68.57,152.36,54.53,9.08
2017-07-07,144.18,69.46,152.94,54.55,8.99
2017-07-10,145.06,69.98,153.42,54.8,9.0
2017-07-11,145.53,69.99,153.19,55.25,9.02
2017-07-12,145.74,71.15,153.7,56.34,9.05
2017-07-13,147.77,71.77,153.63,56.46,9.04
2017-07-14,149.04,72.78,154.24,57.23,9.09
2017-07-17,149.56,73.35,153.01,57.51,9.14
2017-07-18,150.08,73.3,154.0,58.48,9.12
2017-07-19,151.02,73.86,147.53,58.36,9.11
2017-07-20,150.34,74.22,147.66,58.45,9.13
2017-07-21,150.27,73.79,147.08,58.16,9.17
2017-07-24,152.09,73.6,145.99,58.15,9.17
2017-07-25,152.74,74.19,146.19,58.07,9.16
2017-07-26,153.46,74.05,145.36,58.9,9.19
2017-07-27,150.56,73.16,145.07,58.43,9.2
2017-07-28,149.5,73.04,144.29,59.2,9.23
2017-07-31,148.73,72.7,144.67,58.4,9.24
2017-08-01,150.05,72.58,145.3,58.5,9.24
2017-08-02,157.14,72.26,144.45,57.66,9.23
2017-08-03,155.57,72.15,144.94,58.15,9.23
2017-08-04,156.39,72.68,145.16,58.51,9.22
2017-08-07,158.81,72.4,143.47,60.03,9.23
2017-08-08,160.08,72.79,142.11,59.86,9.24
2017-08-09,161.06,72.47,141.77,59.77,9.26
2017-08-10,155.32,71.41,141.84,58.03,9.28
2017-08-11,157.48,72.5,141.84,57.92,9.29
2017-08-14,159.85,73.59,142.32,58.87,9.26
2017-08-15,161.6,73.22,142.07,59.99,9.22
2017-08-16,160.95,73.65,142.5,60.65,9.27
2017-08-17,157.86,72.4,140.7,62.2,9.3
2017-08-18,157.5,72.49,139.7,63.07,9.26
2017-08-21,157.21,72.15,140.33,63.6,9.28
2017-08-22,159.78,73.16,141.01,65.42,9.26
2017-08-23,159.98,72.72,142.14,65.82,9.29
2017-08-24,159.27,72.69,142.94,65.5,9.26
2017-08-25,159.86,72.82,143.74,64.51,9.29
2017-08-28,161.47,72.83,142.51,63.53,9.37
2017-08-29,162.91,73.05,143.14,63.17,9.36
2017-08-30,163.35,74.01,142.56,64.16,9.38
2017-08-31,164.0,74.77,143.03,64.08,9.41
2017-09-01,164.05,73.94,144.08,64.05,9.42
2017-09-05,162.08,73.61,143.04,63.86,9.46
2017-09-06,161.91,73.4,143.82,63.32,9.45
2017-09-07,161.26,74.34,142.9,64.02,9.46
2017-09-08,158.63,73.98,142.45,63.58,9.47
2017-09-11,161.5,74.76,144.86,65.14,9.41
2017-09-12,160.86,74.68,145.76,65.36,9.44
2017-09-13,159.65,75.21,145.99,66.52,9.4
